תאריך פרסום,שם התכשיר,שם תכשיר באנגלית,שם החברה,סיבת העצירה,תאריך העצירה,צפי לחידוש שיווק,קבלת הודעה
,נובומיקס 70 פלקספן,NOVOMIX 70 FLEXPEN,דקסל,סיבות מסחריות,01.12.2021,לצמיתות,
,נובומיקס 70 פלקספן,NOVOMIX 70 FLEXPEN,דקסל,סיבות מסחריות,01.12.2021,לצמיתות,
,פרוטפיק 0.1%,PROTOPIC 0.1%,"ניאופרם בע""מ",סיבות תפעוליות,21.03.2021,התכשיר חזר למלאי,
,"אבסטרל 800 מק""ג",ABSTRAL 800 MCG,טבע מדיקל,סיבות תפעוליות,26.08.2020,התכשיר חזר למלאי,
,מולטי-K1 /12 פדיאטרי,MULTI-12/K1 PEDIATRIC,רז רוקחות,סיבות תפעוליות,מיידי,עד להודעה חדשה,
,סטרטס יוניספט,Sterets Unisept,רז רוקחות,סיבות תפעוליות,01.06.2019,לצמיתות,
,סטרטס טיספט סשטס,STERETS TISEPT SACHETS,"באייר ישראל בע""מ",סיבות תפעוליות,01.11.2019,לצמיתות,
,"לויטרה 20 מ""ג",Levitra 20 mg,"באייר ישראל בע""מ",סיבות תפעוליות,01.2021,התכשיר חזר למלאי,
,אלוקום תרחיץ,Elocom lotion,"באייר ישראל בע""מ",סיבות תפעוליות,15.05.2021,התכשיר חזר למלאי,
,אנדרוקור 50,Androcur 50,"מגאפארם בע""מ",סיבות מסחריות,מיידית,לצמיתות,
,"אפיאנט 10 מ""ג",Effient 10mg,"מגאפארם בע""מ",סיבות מסחריות,סוף אפריל 21,לצמיתות,
,"זידובל 5.7 מ""ג/ג'ל וגינלי",ZIDOVAL 7.5 MG/G VAGINAL GEL,דקסל,סיבות תפעוליות,21.04.2021,12.05.2021,
,פרוטפיק 0.1%,PROTOPIC 0.1%,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,21.03.2021,29.04.2021,
,"ליריקה 300 מ""ג",Lyrica 300 mg,איי.אל.מדי-מרקט,סיבות תפעוליות,25.04.2021,התכשיר חזר למלאי,
,"אטרקוריום קלצקס 10 מ""ג/מ""ל",Atracurium Kalceks 10 mg/ml,"קומקס בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"קארפריב 100מ""ג טבליות בטעם לכלבים וטרינרי",Carprieve 100mg flavored tablets for dogs veterinary,"קומקס בע""מ",סיבות תפעוליות,11.2017,לצמיתות,
,Carprieve 20mg flavored tablets for dogs veterinary,Carprieve 20mg flavored tablets for dogs veterinary,"קומקס בע""מ",סיבות תפעוליות,11.2017,לצמיתות,
,Carprieve 20mg flavored tablets for dogs veterinary,Carprieve 20mg flavored tablets for dogs veterinary,טבע,סיבות תפעוליות,11.2017,לצמיתות,
,"דולוקסטין DR טבע ® 60 מ""ג",DULOXETINE DR TEVA ® 60 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,מיידי,סוף יוני 2021,
,פרוטפיק 0.1%,PROTOPIC 0.1%,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,21.03.2021,15.04.2021,
,רט-אויט קרם 0.05%,RET-AVIT CREAM 0.05 %,טבע,סיבות תפעוליות,08.04.2021,31.05.2021,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,AstraZeneca (israel) Ltd,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,קרסטור 20 מג,CRESTOR 20MG,טבע,סיבות תפעוליות,07.04.2021,התכשיר חזר למלאי,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"טרנקסל 15 מ""ג",TRANXAL 15 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,04.10.2020,30.06.2021,
,"טרנקסל 5 מ""ג",TRANXAL 5 MG,אביק,סיבות תפעוליות,15.05.2021,30.06.2021,
,פקליטקסל טבע,PACLITAXEL TEVA,כצט תעשיות כימיות,סיבות מסחריות,סוף מאי 2021,לצמיתות,
,פולי 5,FOLI 5,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,10.01.2021,התכשיר חזר למלאי,
,מרקאין ספינל 0.5% הבי,MARCAINE SPINAL 0.5 % HEAVY,"קומקס בע""מ",סיבות תפעוליות,14.01.2021,התכשיר חזר למלאי,
,אמוקסי אל.אי וטרינרי,Amoxy LA Veterinary,"קומקס בע""מ",סיבות תפעוליות,01.06.2021,01.08.2021,
,נורומקטין פסטה לסוסים וטרינרי,Noromectin Paste for Horses Veterinary,"קומקס בע""מ",סיבות תפעוליות,01.09.2019,התכשיר חזר למלאי,
,אמוקסי אל.אי וטרינרי,Amoxy LA Veterinary,"ביוטיס בע""מ",סיבות תפעוליות,01.06.2021,התכשיר חזר למלאי,
,אריתרוצין לקטוביאונאט תוך ורידי,ERYTHROCIN LACTOBIONATE I.V.,טבע,סיבות תפעוליות,03.02.2021,התכשיר חזר למלאי,
,"וינורלבין - תרימה 10 מ""ג/מ""ל",Vinorelbine-Trima 10mg/ml,טבע,סיבות מסחריות,31.05.2021,לצמיתות,
,טרנדייט זריקות,TRANDATE INJECTION,Trima,סיבות תפעוליות,05.08.2020,התכשיר חזר למלאי,
,"וינורלבין - תרימה 10 מ""ג/מ""ל",Vinorelbine-Trima 10mg/ml,אביק,סיבות מסחריות,31.05.2021,לצמיתות,
,"פנטורה 400 מק""ג",FENTORA 400 MCG,"חברת מרק שארפ ודוהם (ישראל-1996) בע""""מ MSD Israel",סיבות תפעוליות,מיידי,סוף אפריל 2021,
,"קנסידס 50 מ""ג",Cancidas 50 mg,"חברת מרק שארפ ודוהם (ישראל-1996) בע""מ MSD Israel",סיבות מסחריות,30.09.2021,לצמיתות,
,"קנסידס 70 מ""ג",Cancidas 70 mg,"נוברטיס ישראל בע""מ",סיבות מסחריות,30.09.2021,לצמיתות,
,"סיגניפור לאר 40 מ""ג",Signifor LAR 40 mg,דקסל,סיבות תפעוליות,22.03.2021,התכשיר חזר למלאי,
,פרוטפיק 0.1%,PROTOPIC 0.1%,"נוברטיס ישראל בע""מ",סיבות תפעוליות,21.03.2021,04.04.2021,
,"אפיניטור 10 מ""ג",Afinitor 10 mg,Ferring pharmaceutical Ltd,סיבות תפעוליות,22.03.2021,התכשיר חזר למלאי,
,"זומקטון 10 מ""ג",Zomacton 10mg,Lapidot Medical Import and Marketing,סיבות תפעוליות,21.02.2021,לצמיתות,
,אטומידאט- ליפורו,ETOMIDATE-LIPURO,כצט תעשיות כימיות,סיבות תפעוליות,11.10.2020,08.2021,
,רט-אויט קרם 0.025%,RET-AVIT CREAM 0.025%,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,17.03.2021,התכשיר חזר למלאי,
,"טרנקסל 15 מ""ג",TRANXAL 15 MG,פייזר PFE,סיבות תפעוליות,04.10.2020,30.04.2021,
,"קאברג'קט 10 מק""ג",CAVERJECT 10 mcg,propharm LTD,סיבות תפעוליות,אמצע מרץ 2021,התכשיר חזר למלאי,
,היאלז,Hyalase,פייזר PFE,סיבות מסחריות,06.01.2021,התכשיר חזר למלאי,
,"קאברג'קט 10 מק""ג",CAVERJECT 10 mcg,GSK Consumer Healthcare Israel Ltd.,סיבות תפעוליות,אמצע מרץ 2021,התכשיר חזר למלאי,
,טאמס אולטרה בטעם פירות יער,TUMA ULTRA ASSORTED BERRIES,GSK Consumer Healthcare Israel Ltd.,סיבות תפעוליות,01.12.2020,01.07.2021,
,"ניקוטיניל לכסניות 1 מ""ג",Nicotinell Lozenges 1mg,"פריגו ישראל פרבצבטיקה בע""מ",סיבות תפעוליות,20.02.2021,התכשיר חזר למלאי,
,אגיספור לפטרת הציפורניים,agispor onychoset,"אלרגן ישראל בע""מ",סיבות מסחריות,01.07.2021,לצמיתות,
,לומיגן,Lumigan,טבע,סיבות מסחריות,01.07.2021,לצמיתות,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,"ניאופרם סיינטיפיק בע""מ",סיבות תפעוליות,מיידי,אמצע אפריל 2021 (במקום אמצע מרץ 2021),
,"טוקטינו 10 מ""ג",TOCTINO 10 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,05.04.2020,התכשיר חזר למלאי,
,"טוקטינו 10 מ""ג",TOCTINO 10 MG,AstraZeneca (israel) Ltd,סיבות תפעוליות,05.04.2020,התכשיר חזר למלאי,
,קרסטור 20 מג,CRESTOR 20MG,"רקח תעשיה פרמצבטית בע""מ",סיבות תפעוליות,09.03.2021,23.03.2021,
,דיספטיל,DISEPTYL,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,תחילת מרץ 2021,התכשיר חזר למלאי,
,"בורטזומיב תרו 3.5 מ""ג",Bortezomib Taro 3.5 mg,רפא,סיבות תפעוליות,20.01.2021,20.06.2021,
,"אוקסיקונטין 5 מ""ג",Oxycontin 5 mg,איי.אל.מדי-מרקט,סיבות מסחריות,01.09.2021,לצמיתות,
,"אטרקוריום קלצקס 10 מ""ג/מ""ל",Atracurium Kalceks 10 mg/ml,NOVARTIS ISRAEL LTD,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"אטרקוריום קלצקס 10 מ""ג/מ""ל",Atracurium Kalceks 10 mg/ml,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"פנטורה ® 800 מק""ג",FENTORA ® 800 MCG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,תחילת ינואר 2021,התכשיר חזר למלאי,
,"פרוטיאזין 25 מ""ג",PROTHIAZINE 25 MG,אביק,סיבות תפעוליות,01.03.2021,התכשיר חזר למלאי,
,"פנטורה ® 800 מק""ג",FENTORA ® 800 MCG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,תחילת ינואר 2021,התכשיר חזר למלאי,
,"פרוטיאזין 25 מ""ג",PROTHIAZINE 25 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,01.03.2021,התכשיר חזר למלאי,
,"רזין 15 מ""ג",RAZIN,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,24.12.2020,התכשיר חזר למלאי,
,"טרנקסל 15 מ""ג",TRANXAL 15 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,04.10.2020,31.03.2021,
,אורסוליט 300,Ursolit 300,Teva,סיבות תפעוליות,27.12.2020,התכשיר חזר למלאי,
,DERALIN_40MG.pdf,Assival amp,מנון פארם בעמ,סיבות תפעוליות,מיידי,04.2013,
,מיגרלב,Migraleve,"אוניפארם סחר בע""מ",סיבות מסחריות,01.02.2020,לצמיתות,
,פלודקאט,Fludecate,"פריגו ישראל פרמצבטיקה בע""מ",סיבות תפעוליות,01.11.2020,התכשיר חזר למלאי,
,דואו סקביל,DUO-SCABIL,"אוניפארם סחר בע""מ",סיבות מסחריות,31.08.2021,לצמיתות,
,פלודקאט,Fludecate,"סאנופי אוונטיס ישראל בע""מ",סיבות תפעוליות,01.11.2020,16.03.2021,
,"ליקסומיה 10 מק""ג",Lyxumia 10 mcg,"תרו תעשיה רוקחית בע""מ",סיבות תפעוליות,01.05.2021,לצמיתות,
,מרוקן,Meroken,PERRIGO ISRAEL AGENCIES LTD,סיבות תפעוליות,18.02.2021,התכשיר חזר למלאי,
,מרוקן,Meroken,אביק,סיבות תפעוליות,18.02.2021,התכשיר חזר למלאי,
,נורמיטן 100,NORMITEN100,GLAXO SMITH KLINE (ISRAEL) LTD,סיבות תפעוליות,תחילת מרץ 2021,התכשיר חזר למלאי,
,פנטוסטם,PENTOSTAM,טבע,סיבות תפעוליות,21.05.2020,לצמיתות,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,BEN SHIMON FLORIS LTD,סיבות תפעוליות,מיידי,אמצע מרץ 2021 (במקום אמצע פברואר 2021 ),
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,BEN SHIMON FLORIS LTD,סיבות תפעוליות,מיידי,אמצע מרץ 2021 (במקום אמצע פברואר 2021 ),
,פוליסקין ספריי,POLYSKIN SPRAY,טבע,סיבות מסחריות,01.07.2021,לצמיתות,
,"טרזוסין טבע ® 5 מ""ג",TERAZOSIN TEVA ® 5 MG,כצט תעשיות כימיות,סיבות תפעוליות,תחילת אוקטובר 2020,התכשיר חזר למלאי,
,"מוקוליט 375 מ""ג טבליות מציצה בטעם דבש לימון",MUCOLIT 375 MG LOZENGES HONEY-LEMON FLAVOUR,J-C Health Care Ltd,סיבות תפעוליות,24.12.2020,31.05.2021,
,"רמיניל 16 מ""ג PRC",REMINYL PRC 16 MG,"נוברטיס ישראל בע""מ",סיבות מסחריות,01.09.2021,לצמיתות,
,"ריטלין טבליות 10 מ""ג",Ritalin 10 mg tablets,J-C Health Care Ltd,סיבות תפעוליות,11.02.2021,התכשיר חזר למלאי,
,"רמיניל 8 מ""ג PRC",REMINYL PRC 8 MG,J-C Health Care Ltd,סיבות מסחריות,01.09.2021,לצמיתות,
,"רמיניל 24 מ""ג PRC",REMINYL PRC 24 MG,"תרו אינטרנשיונל בע""מ",סיבות מסחריות,01.09.2021,לצמיתות,
,תרוקלינדין ג'ל,Taroclindin Gel,"רוש פרמצבטיקה (ישראל) בע""מ",סיבות מסחריות,10.03.2021,31.10.2021,
,"אקטמרה 162 מ""ג S.C.",Actemra 162 mg S.C.,"אביק שיווק בע""מ",סיבות תפעוליות,10.03.2021,התכשיר חזר מלאי,
,בלסטווין טבע,BLASTOVIN TEVA,Ferring pharmaceutical Ltd,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,מינירין תמיסה,Minirin solution,Ferring pharmaceutical Ltd,סיבות תפעוליות,13.08.2020,לצמיתות,
,אוקטוסטים,Octostim,J-C Health Care Ltd,סיבות מסחריות,08.02.2021,לצמיתות,
,מינירין תמיסה,Minirin solution,Ferring pharmaceutical Ltd,סיבות תפעוליות,13.08.2020,לצמיתות,
,מינירין תרסיס אפי,Minirin nasal spray,AstraZeneca (israel) Ltd,סיבות תפעוליות,13.07.2020,לצמיתות,
,קומביגלייז XR 2.5/1000 מג,KOMBIGLYZE XR 2.5 MG/1000 MG,AstraZeneca (israel) Ltd,סיבות מסחריות,01.07.2021,לצמיתות,
,קומביגלייז XR 2.5/1000 מג,KOMBIGLYZE XR 2.5 MG/1000 MG,AstraZeneca (israel) Ltd,סיבות מסחריות,01.07.2021,לצמיתות,
,קומביגלייז XR 5/1000 מג,KOMBIGLYZE XR 5 MG/1000 MG,AstraZeneca (israel) Ltd,סיבות מסחריות,01.07.2021,לצמיתות,
,"אונגלייזה 2.5 מ""ג",ONGLYZA 2.5MG,פייזר,סיבות מסחריות,01.02.2022,לצמיתות,
,"בנפיקס 2000 יח' בינ""ל",BENEFIX 2000 IU/VIAL,איי.אל.מדי-מרקט,סיבות מסחריות,01.09.2020,התכשיר חזר מלאי,
,"אטרקוריום קלצקס 10 מ""ג/מ""ל",Atracurium Kalceks 10 mg/ml,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,מיידי,15.04.2021,
,"רזין 15 מ""ג",RAZIN,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,24.12.2020,28.02.2021,
,"רזין 15 מ""ג",RAZIN,בורינגר אינגלהיים,סיבות תפעוליות,24.12.2020,28.02.2021,
,וירמיון תרחיף,Viramune oral suspension,"קומקס בע""מ",סיבות מסחריות,25.01.2022,לצמיתות,
,קארפריב זריקה לבקר וטרינרי,Carprieve Injection For Cattle Veterinary,"תרופארם שיווק 1985 בע""מ",סיבות תפעוליות,26.01.2021,עד להודעה חדשה,
,אפיפן,Epipen,"תרופארם שיווק 1985 בע""מ",סיבות תפעוליות,25.01.2021,30.06.2021,
,אפיפן ג'וניור,Epipen,טבע,סיבות תפעוליות,25.01.2021,30.06.2021,
,אפיפן ג'וניור,Epipen,"קומקס בע""מ",סיבות תפעוליות,25.01.2021,30.06.2021,
,נורוקארפ לחיות קטנות זריקה וטרינרי,Norocarp Small Animall Injection Veterinaery,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,25.01.2021,עד להודעה חדשה,
,טרקריום להזרקה,TRACRIUM INJECTION,טבע,סיבות תפעוליות,02.08.2020,התכשיר חזר מלאי,
,פרוקטו-גליבנול קרם,Procto-Glyvenol Cream,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,20.01.2021,01.07.2021,
,פרוקטו-גליבנול קרם,Procto-Glyvenol Cream,אלי לילי ישראל,סיבות תפעוליות,20.01.2021,01.07.2021,
,"אפיאנט 10 מ""ג",Effient 10mg,PERRIGO ISRAEL AGENCIES LTD,"סיבות תפעוליות,",07.2021,לצמיתות,
,איזומד ג'ל,ESOMED GEL,NOVARTIS ISRAEL LTD,סיבות תפעוליות,01.02.2021,התכשיר חזר מלאי,
,טוברקס משחת עיניים,TOBREX OPHTHALMIC OINTMENT,טבע,סיבות תפעוליות,07.02.2021,התכשיר חזר מלאי,
,הייפרטט S.D,HYPERTET S.D,טבע,סיבות תפעוליות,20.01.2021,28.02.2021,
,"דולוקסטין DR טבע ® 30 מ""ג",DULOXETINE DR TEVA ® 30 MG,"אוניפארם סחר בע""מ",סיבות תפעוליות,תחילת ספטמבר 2020,תחילת יוני 2021 (במקום תחילת אפריל 2021),
,הייפרטט S.D,HYPERTET S.D,ביואבניר,סיבות תפעוליות,20.01.2021,28.02.2021,
,ספטקס 1 גר',SEPTAX 1 G,ביואבניר,סיבות מסחריות,מיידי,עד להודעה חדשה,
,ספטקס 2 גר',SEPTAX 2 G,טבע,סיבות מסחריות,מיידי,עד להודעה חדשה,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,אביק,סיבות תפעוליות,מיידי,אמצע פברואר 2021 (במקום סוף ינואר 2021),
,"פנטורה ® 800 מק""ג",FENTORA ® 800 MCG,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,תחילת ינואר 2021,סוף פברואר 2021 (במקום סוף ינואר 2021),
,"רילרט 80 מ""ג",Relert 80 mg,טבע,סיבות תפעוליות,31.01.2021,התכשיר חזר למלאי,
,"פנטורה ® 800 מק""ג",FENTORA ® 800 MCG,"פריגו ישראל סוכנויות בע""מ",סיבות תפעוליות,תחילת ינואר 2021,סוף פברואר 2021 (במקום סוף ינואר 2021),
,מרקאין ספינל 0.5% הבי,MARCAINE SPINAL 0.5 % HEAVY,"תרופארם שיווק 1985 ב""צ",סיבות תפעוליות,14.01.2021,15.03.2021,
,ויפאקס XR 150 פורמולציה חדשה,VIEPAX XR 150 NEW FORMULATION,"תרופארם שיווק 1985 ב""צ",סיבות תפעוליות,13.01.2021,התכשיר חזר למלאי,
,ויפאקס XR 150 פורמולציה חדשה,VIEPAX XR 150 NEW FORMULATION,"ניאופרם בע""מ",סיבות תפעוליות,13.01.2021,התכשיר חזר למלאי,
,בלנאום פלוס,BALNEUM PLUS,Ferring pharmaceutical Ltd,סיבות תפעוליות,07.01.2021,התכשיר חזר מלאי,
,"נוראדרנלין סינטטיקה 4מ""ג/4מ""ל",NORADRENALINE SINTETICA 4 MG/4 ML,Ferring pharmaceutical Ltd,סיבות תפעוליות,12.01.2021,התכשיר חזר למלאי,
,מינירין תמיסה,Minirin solution,Biomed-JR,סיבות תפעוליות,13.08.2020,01.07.2021,
,מינירין תרסיס אפי,Minirin nasal spray,"ניאופרם (ישראל) 1996 בע""מ",סיבות תפעוליות,01.07.2021,13.07.2020,
,אינדוביס כמוסות,INDOVIS CAPSULES,"ניאופרם (ישראל) 1996 בע""מ",סיבות תפעוליות,24.01.2021,31.05.2021,
,אינדוביס כמוסות,INDOVIS CAPSULES,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,24.01.2021,31.05.2021,
,"בורטזומיב תרו 3.5 מ""ג",Bortezomib Taro 3.5 mg,propharm LTD,סיבות תפעוליות,20.01.2021,20.03.2021,
,היאלז,Hyalase,כצט תעשיות כימיות,"סיבות תפעוליות,",06.01.2021,עד להודעה חדשה,
,"מונולונג 60 מ""ג",MONOLONG 60 MG,אביק,סיבות מסחריות,22.09.2020,לצמיתות,
,בימטופרוסט טבע,BIMATOPROST TEVA,טבע,סיבות תפעוליות,מיידי,סוף פברואר 2021,
,בימטילול טבע,BIMATILOL TEVA,"באייר ישראל בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר מלאי,
,אנדרוקור 50,Androcur 50,פייזר PFE,סיבות מסחריות,15.06.2021,לצמיתות,
,"דפלפט כרונו 500 מ""ג",Depalept Chrono 500mg,פייזר PFE,סיבות תפעוליות,17.01.2021,התכשיר חזר למלאי,
,אפקסור XR 75,Efexor XR 75,כצט תעשיות כימיות,סיבות תפעוליות,מיידי,התכשיר חזר מלאי,
,קודיביס כמוסות,CODIVIS CAPSULES,GSK Consumer Healthcare Israel Ltd,סיבות תפעוליות,01.11.2018,31.12.2021,
,מי מלח אוטריויני לתינוקות,SALINE OTRIVINI FOR BABIES,כצט תעשיות כימיות,סיבות תפעוליות,01.07.2021,לצמיתות,
,דואביב,Duavive,GSK Consumer Healthcare Israel Ltd,סיבות תפעוליות,01.07.2020,רבעון שני 2022,
,מי מלח אוטריויני לתינוקות,SALINE OTRIVINI FOR BABIES,כצט תעשיות כימיות,סיבות תפעוליות,01.07.2021,לצמיתות,
,"טרנקסל 15 מ""ג",TRANXAL 15 MG,כצט תעשיות כימיות,סיבות תפעוליות,04.10.2020,28.02.2021,
,טריכלונם אלקסיר,TRICLONAM ELIXIR,רפא,סיבות תפעוליות,29.07.2020,31.07.2021,
,זוסטריקס,Zostrix,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,01.12.2020,התכשיר חזר מלאי,
,"טרזוסין טבע ® 5 מ""ג",TERAZOSIN TEVA ® 5 MG,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,תחילת אוקטובר 2020,תחילת פברואר 2021 (במקום אמצע ינואר 2021),
,עצירות X,ATZIRUT X,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,10.01.2021,התכשיר חזר למלאי,
,"רזין 15 מ""ג",RAZIN,טבע,סיבות תפעוליות,מיידי,31.01.2021,
,"טרזוסין טבע ® 5 מ""ג",TERAZOSIN TEVA ® 5 MG,GSK Consumer Healthcare Israel Ltd,סיבות תפעוליות,תחילת אוקטובר 2020,תחילת פברואר 2021 (במקום אמצע ינואר 2021),
,טאמס אולטרה בטעם פירות יער,TUMA ULTRA ASSORTED BERRIES,טבע,סיבות תפעוליות,23.12.2020,01.05.2021,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,"אלרגן ישראל בע""מ",סיבות תפעוליות,מיידי,סוף ינואר 2021 (במקום תחילת ינואר 2021),
,קומביגן,Combigan,פייזר PFE,סיבות תפעוליות,08.11.2020,התכשיר חזר למלאי,
,אפקסור XR 150,Efexor XR 150,רפא,סיבות תפעוליות,מיידי,התכשיר חזר מלאי,
,פן-רפא וי-ק פורטה,Pen-Rafa VK Forte,כצט תעשיות כימיות,סיבות תפעוליות,01.07.2020,התכשיר חזר למלאי,
,אלפרליד 1,ALPRALID 1,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,27.12.2020,התכשיר חזר מלאי,
,לוסרטה 50,LOSARTA 50,כצט תעשיות כימיות,סיבות תפעוליות,13.12.2020,28.02.2021,
,אורסוליט 300,Ursolit 300,"לידור אלמנטס בע""מ",סיבות תפעוליות,27.12.2020,28.02.2021,
,אדווקט לחתולים וחמוסים וטרינרי,ADVOCATE FOR CATS & FERRETS VETERINARY,"לידור אלמנטס בע""מ",סיבות מסחריות,01.06.2021,לצמיתות,
,אדווקט לכלב וטרינרי,ADVOCATE FOR DOGS VETERINARY,"לידור אלמנטס בע""מ",סיבות מסחריות,01.06.2021,לא ידוע,
,אדווקט לחתולים וחמוסים וטרינרי,ADVOCATE FOR CATS & FERRETS VETERINARY,"ניאופרם בע""מ",סיבות מסחריות,01.06.2021,לצמיתות,
,ברונכיטול,BRONCHITOL,"דקסל פארמה טכנולוגיות בע""מ",סיבות מסחריות,01.01.2015,עד להודעה חדשה,
,טרמדקס 200OD,TRAMADEX OD 200,Euromar Ltd,סיבות תפעוליות,מיידי,התכשיר חזר מלאי,
,מיקוטיל 300 וטרינרי,Micotil 300 Veterinary,"חברת מרק שארפ ודוהם (ישראל - 1996) בע""מ",סיבות תפעוליות,23.07.2020,30.06.2021,
,זרבקסה 1 גרם.0.5 גרם,Zerbaxa 1 g.0.5 g,"לידור אלמנטס בע""מ",סיבות תפעוליות,08.12.2020,עד להודעה חדשה,
,דרונטל תרחיף לגורי כלבים וטרינרי,Drontal oral suspensuon for puppies veterinary,טבע,סיבות מסחריות,30.06.2021,לצמיתות,
,"סינאקלצט טבע ® 30 מ""ג",CINACALCET TEVA ® 30 MG,"קומקס בע""מ",סיבות תפעוליות,מיידי,תחילת ינואר 2021,
,"פנטורה ® 800 מק""ג",FENTORA ® 800 MCG,"קומקס בע""מ",סיבות תפעוליות,תחילת ינואר 2021,סוף ינואר 2021,
,"קארפריב 20מ""ג טבליות בטעם לכלבים וטרינרי",Carprieve 20mg flavored tablets for dogs veterinary,"קומקס בע""מ",סיבות תפעוליות,11.2017,עד להודעה חדשה,
,ויפאקס 75 XR,VIEPAX XR 75,"קומקס בע""מ",סיבות תפעוליות,12.10.2020,התכשיר חזר מלאי,
,אטופוסיד טבע,ETOPOSIDE TEVA,אביק,סיבות תפעוליות,אמצע דצמבר 2020,אמצע ינואר 2021,
,"פנטורה ® 800 מק""ג",FENTORA ® 800 MCG,PERRIGO ISRAEL AGENCIES LTD,סיבות תפעוליות,תחילת ינואר 2021,סוף ינואר 2021,
,"לאנויס טבליות 40 מ""ג",LANVIS TABLETS 40 MG,טבע,סיבות מסחריות,31.05.2021,לצמיתות,
,אטופוסיד טבע,ETOPOSIDE TEVA,"קומקס בע""מ",סיבות תפעוליות,אמצע דצמבר 2020,אמצע ינואר 2021,
,טי אמ פי אס וטרינרי,TMPS Veterinary,"דקסל בע""מ",סיבות תפעוליות,01.01.2019,עד להודעה חדשה,
,ויפאקס 75 XR,VIEPAX XR 75,"קומקס בע""מ",סיבות תפעוליות,12.10.2020,התכשיר חזר מלאי,
,טי אמ פי אס וטרינרי,TMPS Veterinary,פייזר PFE,סיבות תפעוליות,01.01.2019,עד להודעה חדשה,
,כולסטיד,COLESTID,"פרומדיקו בע""מ",סיבות תפעוליות,01.01.2021,עד להודעה חדשה,
,אי-זי-קאט,E-Z-CAT,"פרומדיקו בע""מ",סיבות תפעוליות,01.01.2015,עד להודעה חדשה,
,"קסנאקס XR מ""ג 1",XANAX X.R. 1 mg,"פרומדיקו בע""מ",סיבות תפעוליות,01.07.2020,התכשיר חזר מלאי,
,ליקוויד פוליבר פלוס,LIQUID POLIBAR PLUS,Novartis Israel Ltd,סיבות תפעוליות,01.01.2015,עד להודעה חדשה,
,"וינורלבין ""אבווה"" 10 מ""ג. מ""ל","VINORELBIN ""EBEWE"" 10 MG.ML","פרומדיקו בע""מ",סיבות תפעוליות,01.12.2020,30.09.2021,
,אי-זי-פק,E-Z-PAQUE,"פרומדיקו בע""מ",סיבות תפעוליות,01.01.2015,עד להודעה חדשה,
,פוליבר ACB,POLIBAR ACB,"פרומדיקו בע""מ",סיבות תפעוליות,01.01.2015,לצמיתות,
,אי-זי-גאז II,E-Z-GAS II,"סאנופי אוונטיס ישראל בע""מ",סיבות תפעוליות,01.01.2015,עד להודעה חדשה,
,אומגוון,OMEGAVEN,"פרומדיקו בע""מ",סיבות תפעוליות,15.12.2020,התכשיר חזר מלאי,
